index;MONTH;WOD;N-OS;OP;USD/DZD;GPR;PRICE
0;Jan-00;75,58;45,8;26,5;68,232775;64,46;25,6
1;Feb-00;NaN;NaN;NaN;69,198775;63,54;26,3
2;Mar-00;NaN;NaN;NaN;72,134723;50,1;26,7
3;Apr-00;74,09;45,5;27,9;73,913208;48,68;26,5
4;May-00;NaN;NaN;NaN;76,018356;79,48;27,4
5;Jun-00;NaN;NaN;NaN;73,985389;64,72;27,9
6;Jul-00;75,58;45,6;28,7;74,464767;51,9;28,8
7;Aug-00;NaN;NaN;NaN;76,444858;46,49;29,7
8;Sep-00;NaN;NaN;NaN;78,328002;52,69;30,3
9;Oct-00;78,03;45,8;28,8;78,860692;76,46;31,8
10;Nov-00;NaN;NaN;29,23;78,025755;45,06;33,06
11;Dec-00;NaN;NaN;27,9;75,299295;45,4;26,11
12;Jan-01;76,6;49,5;28,1;73,191905;46,9;26,08
13;Feb-01;NaN;NaN;NaN;74,598221;55,09;27,8
14;Mar-01;NaN;NaN;NaN;75,287108;61,71;24,82
15;Apr-01;74,6;49,2;27,1;76,10954;50,57;25,65
16;May-01;NaN;NaN;NaN;77,780098;60,38;28,47
17;Jun-01;NaN;NaN;NaN;79,261757;72,06;28,16
18;Jul-01;75,7;49,9;27,2;78,842695;61,07;24,95
19;Aug-01;NaN;NaN;NaN;76,521611;64,11;25,96
20;Sep-01;NaN;NaN;NaN;75,974779;498,65;26,13
21;Oct-01;76,4;50,5;26,3;76,146441;512,53;20,65
22;Nov-01;NaN;NaN;NaN;77,139556;306,79;19
23;Dec-01;NaN;NaN;NaN;77,058488;236,1;19,08
24;Jan-02;76,7;50,4;25,1;77,353812;172,48;19,64
25;Feb-02;NaN;NaN;NaN;78,687968;146,19;19,73
26;Mar-02;NaN;NaN;NaN;79,113422;151,98;22,84
27;Apr-02;74,7;50,2;24,6;79,995599;157,5;25,34
28;May-02;NaN;NaN;NaN;79,703271;163,32;24,77
29;Jun-02;NaN;NaN;NaN;79,536624;149,33;23,6
30;Jul-02;75,9;50,8;25,5;79,745361;122,78;25,79
31;Aug-02;NaN;NaN;NaN;79,702991;127,06;26,87
32;Sep-02;NaN;NaN;NaN;79,208869;174,9;28,17
